AFT_reference,sample_id,borehole,long,lat,x_swiss_grid,y_swiss_grid,elevation,depth,depth_min,depth_max,location,outcrop_or_borehole,lithology,tectonic_unit,stratigraphic_unit,stratigraphic_age_min,stratigraphic_age_max,include_in_compilation,AFT_central_age,AFT_central_age_stdev,AFT_central_age_95ci_min,AFT_central_age_95ci_plus,AFT_n_grains,AFT_Dpar,AFT_Dper,AFT_age_dispersion_perc,AFT_P_chi_sq,P_X2,AFT_reset,AFT_resetting_depth,Unnamed: 31,Unnamed: 32,AFT_mean_track_length,AFT_track_length_stderr,AFT_track_length_stdev,N ap TL,ZFT_age,ZFT_age_stdev,ZFT_n_grains,ZFT_reference,AHe_mean age,AHe_mean age_error_perc,Ahe_reset,AHe_reference,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Cederbom2011,LE2,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,,607.0,,,,borehole,,,OMM,19.0,17.25,y,26.8,,4.0,4.8,40.0,,,,,0.0,n,,,,,,,,,,,,,,,,6083.6931367682155,6083.6931367682155,214684.03307506864
Cederbom2011,LE3,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,,955.0,,,,borehole,,,USM,28.4,20.43,y,26.9,,3.4,3.9,40.0,,,,,1.0,n,,,,,,,,,,,,,,,,6083.6931367682155,6083.6931367682155,214684.03307506864
Cederbom2011,LE4,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,,1288.0,,,,borehole,,,USM,28.4,20.43,y,33.5,,4.5,5.2,41.0,,,,,0.0,n,,,,,,,,,,,,,,,,6083.6931367682155,6083.6931367682155,214684.03307506864
Cederbom2011,LE5,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,,1687.0,,,,borehole,,,USM,28.4,20.43,y,25.1,,3.4,3.9,41.0,,,,,0.0,n,,,,,,,,,,,,,,,,6083.6931367682155,6083.6931367682155,214684.03307506864
Cederbom2011,LE6,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,,1977.0,,,,borehole,,,USM,28.4,20.43,y,19.6,,2.8,3.3,37.0,,,,,0.0,y,,,,,,,,,,,,,,,,6083.6931367682155,6083.6931367682155,214684.03307506864
Cederbom2011,LE7,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,,2329.0,,,,borehole,,,USM,28.4,20.43,y,9.2,,2.2,2.8,21.0,,,,,16.0,y,,,,,,,,,,,,,,,,6083.6931367682155,6083.6931367682155,214684.03307506864
Cederbom2011,R3,Romanens,6.9716392751,46.6585020829,564255.734962,167581.216243,,762.0,,,,borehole,,,USM,28.4,20.43,y,33.1,,9.5,13.2,32.0,,,,,0.0,n,,,,,,,,,,,,,,,,-225.859630287863,-225.859630287863,151574.95910349942
Cederbom2011,R4,Romanens,6.9716392751,46.6585020829,564255.734962,167581.216243,,1107.0,,,,borehole,,,USM,28.4,20.43,y,35.7,,9.6,13.2,20.0,,,,,0.0,n,,,,,,,,,,,,,,,,-225.859630287863,-225.859630287863,151574.95910349942
Cederbom2011,R5,Romanens,6.9716392751,46.6585020829,564255.734962,167581.216243,,1346.0,,,,borehole,,,USM,28.4,20.43,y,27.7,,8.0,11.1,25.0,,,,,0.0,n,,,,,,,,,,,,,,,,-225.859630287863,-225.859630287863,151574.95910349942
Cederbom2011,R6,Romanens,6.9716392751,46.6585020829,564255.734962,167581.216243,,1790.0,,,,borehole,,,USM,28.4,20.43,y,16.0,,3.5,4.4,32.0,,,,,0.0,y,,,,,,,,,,,,,,,,-225.859630287863,-225.859630287863,151574.95910349942
Cederbom2011,R7,Romanens,6.9716392751,46.6585020829,564255.734962,167581.216243,,2100.0,,,,borehole,,,USM,28.4,20.43,y,10.2,,2.8,3.9,19.0,,,,,0.0,y,,,,,,,,,,,,,,,,-225.859630287863,-225.859630287863,151574.95910349942
Cederbom2011,Sa10,Savigny,6.738949879,46.54821,546336.432499,155453.70051199998,,1980.0,,,,borehole,,,USM,28.4,20.43,y,10.5,,2.7,3.5,26.0,,,,,1.0,y,,,,,,,,,,,,,,,,-676.3742812212865,-676.3742812212865,128181.51114115455
Cederbom2011,Sa11,Savigny,6.738949879,46.54821,546336.432499,155453.70051199998,,2037.0,,,,borehole,,,USM,28.4,20.43,y,11.6,,4.9,8.3,5.0,,,,,78.0,y,,,,,,,,,,,,,,,,-676.3742812212865,-676.3742812212865,128181.51114115455
