sample,depth,grain_number,raw_Ahe_age,raw_Ahe_age_SE,AHe_age_corr,AHe_age_corr_SE,grain_radius,U,Th,Sm,Shape,Transparent,length_um,width_um,color,even_surface
B55,0,4,8.229601771,0.658368145,10.45493031,0.836394429,67.88,59.8,2.3,29.9,1,T,203,135,blue,T
B55x,0,5,39.27643099,3.142114351,52.54602051,4.203681469,60.62,148,68.1,158.8,1,T,163,120,blue,T
B55x,0,6,-4.040689538,-0.323255164,-5.696979523,-0.455758363,51.425,0.6,0.6,0,r,T,155,105,blue,F
E05,0,1,11.37956042,0.682773622,14.62,0.88,59.58953857,98.68875885,70.29295349,70.20612335,1,T,443,119,,T
E05,0,3,6.194912468,0.371694764,8.46,0.51,50.56772995,61.85374069,9.870428085,162.5867615,2,T,207,101,,T
E10,0,4,6.850714269,0.132615792,8.55,0.17,74.035,20.09872227,3.687492051,101.2915776,2,T,218,148,,T
E30,0,1,4.373497083,0.262409827,6.25,0.37,49.17841721,19.66114998,150.4931488,82.06053925,1,T,212,98,,F
E30,0,2,4.032945663,0.241976745,6.18,0.37,44.84741974,10.88810539,61.86978912,32.4059906,2,T,130,90,,F
E30,0,3,4.812615971,0.288756963,6.47,0.39,63.79072189,16.81726265,102.4640656,125.7753448,0,F,174,127,,F
E3-1,428,1,4.824009108,0.289440544,6.75,0.4,48.52902603,30.99992752,6.036840916,89.43534851,2,T,175,97,,F
E3-1,428,2,5.132620334,0.307957211,7.86,0.47,47.28419113,31.31968117,50.9836731,94.64485168,1,T,100,94,,F
E3-1,428,3,4.970387246,0.298223231,8.71,0.52,32.95996857,14.81205273,39.57249451,218.8875885,1,T,121,66,,T
E3-2,1220,1,1.952016803,0.11712101,3.17,0.19,37.51305008,52.28951263,9.918430328,93.45814514,0,F,96,75,,T
E3-2,1220,2,5.11165483,0.306699282,7.69,0.46,47.68604279,61.60703278,55.75042725,101.7074356,0,T,105,95,,T
E3-2,1220,3,5.843885371,0.350633108,8.96,0.54,45.98591995,5.075607777,21.45904922,76.06729889,r,F,117,92,,F
E3-2.5,1423,1,3.796425841,0.227785556,6.78,0.41,31.29511833,41.35286713,94.42353058,136.0369568,1,T,128,62,,T
E3-2.5,1423,2,2.081327868,0.124879676,3.53,0.21,35.46094513,99.35806274,84.05564117,144.3278351,0,T,99,71,,T
E3-2.5,1423,3,1.494391435,0.089663489,2.61,0.16,33.56743622,33.39589691,47.95094681,86.50950623,1,T,107,67,,T
E3-3,1625,1,4.100674734,0.328053978,6,0.48,50,23.99040985,26.09776878,49.08549881,0,T,123,103,brown,T
E3-3,1625,2,2.545208935,0.203616724,3.3,0.27,67.25,48.81095505,36.55056,42.44340897,0,F,154,145,violet,F
E3-3,1625,3,2.51966097,0.201572882,3.5,0.28,53.08,17.60223198,7.919219971,44.42132568,0,T,180,100,brown,F
E3-4,1830,1,2.779978547,0.222398282,5,0.4,33,54.60236359,121.7432327,33.32071304,1,T,119,60,brown,F
E3-5,0,1,4.823628993,0.091113743,5.95,0.11,79.1425,20.0292522,36.42510908,130.9919212,0,T,180,145,blue,F
E3-5,2120,1,1.876879035,0.112612745,2.845229626,0.170713782,47.70726395,24.0525074,42.04686356,47.60683823,0,T,106,95,,T
E3-5,2120,2,1.429438846,0.08576633,2.268159151,0.136089549,40.25269699,59.65710831,79.60283661,164.6479645,1,T,117,80,,F
E40,0,1,9.286783502,0.160031667,11.53,0.2,75.575,51.89561901,36.22110454,183.6398301,1,F,238,150,,F
E40,0,2,4.324498734,0.087010036,6.19,0.12,44.0975,173.7436787,41.26385884,361.2419618,1,T,120,87,,T
E40,0,3,4.23229802,0.088767815,5.42,0.11,66.9175,11.15310104,29.39529124,287.4715119,1,T,162,133,,F
E40,0,4,3.881088158,0.058397745,4.45,0.07,117.7675,7.976669068,20.22871478,84.71420137,r,F,281,235,,F
E40,0,5,4.364954897,0.07530555,5.32,0.09,74.3875,21.95636131,18.15680024,260.5177291,r,T,278,149,,F
E45,0,1,5.286625612,0.317197534,8.1,0.49,40.95371628,28.19192123,58.25344849,192.1214905,1,T,168,81,,T
