well,sample,depth,n,aft_age,95ci_minus,95ci_plus,P_X2,ref,data_type,length_mean,length_std,n_lengths,long,lat,x_coord_swiss_grid,y_coord_swiss_grid,elevation,max_depth,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Entlebuch_t,E26,1300.0,60,24.5,3.9,4.7,0.0,Cederbom2011,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Herdern,,635.0,50,43.0,8.0,8.0,0.0,Mazurek2006,central_age,12.27,1.62,50.0,8.920304552000001,47.61399,711395.177731,274753.148733,519.0,2153.55,39785.04588610032,39785.04588610032,342002.26347624185
Herdern,,1225.0,20,35.0,4.0,4.0,0.0,Mazurek2006,central_age,11.05,1.69,20.0,8.920304552000001,47.61399,711395.177731,274753.148733,519.0,2153.55,39785.04588610032,39785.04588610032,342002.26347624185
Herdern,,1910.45,19,32.0,4.0,4.0,24.0,Mazurek2006,central_age,13.86,1.44,19.0,8.920304552000001,47.61399,711395.177731,274753.148733,519.0,2153.55,39785.04588610032,39785.04588610032,342002.26347624185
Herdern,,2121.15,3,3.9,0.7,0.7,73.0,Mazurek2006,central_age,11.75,0.36,3.0,8.920304552000001,47.61399,711395.177731,274753.148733,519.0,2153.55,39785.04588610032,39785.04588610032,342002.26347624185
Herdern,,2153.55,9,3.2,0.5,0.5,89.0,Mazurek2006,central_age,10.95,2.74,9.0,8.920304552000001,47.61399,711395.177731,274753.148733,519.0,2153.55,39785.04588610032,39785.04588610032,342002.26347624185
Huenenberg,H3,435.0,25,23.8,1.9,1.9,14.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H5,875.0,25,27.7,2.8,2.8,0.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H161,1100.0,18,23.7,3.2,3.2,0.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H7,1320.0,25,30.4,4.2,4.2,0.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H8,1550.0,26,20.2,2.5,2.5,16.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H9,1807.0,30,18.4,1.9,1.9,18.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H10,1995.0,30,9.5,1.1,1.1,21.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H163,2388.0,20,3.6,0.5,0.5,5.0,Cederbom2004,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,H10rec,1995.0,59,4.6,1.2,1.6,0.4,Cederbom2011,central_age,,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Lindau,La2,360.0,26,40.5,11.1,15.2,0.0,Cederbom2011,central_age,,,,8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
Lindau,La3,610.0,44,29.0,5.4,6.6,0.0,Cederbom2011,central_age,,,,8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
Lindau,La5,1085.0,57,23.1,2.6,2.9,0.0,Cederbom2011,central_age,,,,8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
Lindau,La6,1310.0,49,20.3,3.6,4.3,0.0,Cederbom2011,central_age,,,,8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
Lindau,La8,1625.0,60,13.8,2.3,2.7,0.0,Cederbom2011,central_age,,,,8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
Lindau,La10,2374.0,30,3.2,0.7,0.9,1.0,Cederbom2011,central_age,,,,8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
Linden,LE2,607.0,40,26.8,4.0,4.8,0.0,Cederbom2011,central_age,,,,7.67220754639545,46.8493138144421,617814.6367350001,188712.739751,881.3,2329.0,6083.6931367682155,6083.6931367682155,214684.03307506864
Linden,LE3,955.0,40,26.9,3.4,3.9,1.0,Cederbom2011,central_age,,,,7.67220754639545,46.8493138144421,617814.6367350001,188712.739751,881.3,2329.0,6083.6931367682155,6083.6931367682155,214684.03307506864
Linden,LE4,1288.0,41,33.5,4.5,5.2,0.0,Cederbom2011,central_age,,,,7.67220754639545,46.8493138144421,617814.6367350001,188712.739751,881.3,2329.0,6083.6931367682155,6083.6931367682155,214684.03307506864
Linden,LE5,1687.0,41,25.1,3.4,3.9,0.0,Cederbom2011,central_age,,,,7.67220754639545,46.8493138144421,617814.6367350001,188712.739751,881.3,2329.0,6083.6931367682155,6083.6931367682155,214684.03307506864
Linden,LE6,1977.0,37,19.6,2.8,3.3,0.0,Cederbom2011,central_age,,,,7.67220754639545,46.8493138144421,617814.6367350001,188712.739751,881.3,2329.0,6083.6931367682155,6083.6931367682155,214684.03307506864
Linden,LE7,2329.0,21,9.2,2.2,2.8,16.0,Cederbom2011,central_age,,,,7.67220754639545,46.8493138144421,617814.6367350001,188712.739751,881.3,2329.0,6083.6931367682155,6083.6931367682155,214684.03307506864
Rigi,R170,660.0,40,29.3,4.5,4.5,0.0,Cederbom2004,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Rigi,R172,1380.0,23,26.4,3.6,3.6,0.0,Cederbom2004,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Rigi,R174,2000.0,24,15.8,3.3,3.3,0.0,Cederbom2004,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Romanens,R3,762.0,32,33.1,9.5,13.2,0.0,Cederbom2011,central_age,,,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,R4,1107.0,20,35.7,9.6,13.2,0.0,Cederbom2011,central_age,,,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,R5,1346.0,25,27.7,8.0,11.1,0.0,Cederbom2011,central_age,,,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,R6,1790.0,32,16.0,3.5,4.4,0.0,Cederbom2011,central_age,,,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,R7,2100.0,19,10.2,2.8,3.9,0.0,Cederbom2011,central_age,,,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Savigny,Sa6,1060.0,8,27.5,11.1,18.7,0.0,Cederbom2011,central_age,,,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Sa7,1300.0,31,30.8,7.5,10.0,0.0,Cederbom2011,central_age,,,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Sa8,1540.0,27,26.5,5.8,7.5,0.0,Cederbom2011,central_age,,,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Sa9,1755.0,3,35.2,21.1,52.4,1.0,Cederbom2011,central_age,,,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
