well/sample,well,gof_vr_max,gof_aft_max,gof_T_max,gof_aft_T_max,cooling_vr_best,cooling_vr_min,cooling_vr_max,cooling_aft_best,cooling_aft_min,cooling_aft_max,cooling_at_best,cooling_at_min,cooling_at_max,cooling_at_est_best,cooling_at_est_min,cooling_at_est_max,exhumation_vr_best,exhumation_vr_min,exhumation_vr_max,exhumation_aft_best,exhumation_aft_min,exhumation_aft_max,exhumation_at_best,exhumation_at_min,exhumation_at_max,exhumation_at_est_best,exhumation_at_est_min,exhumation_at_est_max,heat_flow_best,heat_flow_min,heat_flow_max,borehole,long,lat,x_swiss_grid,y_swiss_grid,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel,elevation_dem,relief,borehole_loc,long_loc,lat_loc,x_swiss_grid_loc,y_swiss_grid_loc,outcrop_or_borehole,cooling_min,cooling_best,cooling_max,data_type,x_swiss_coords,y_swiss_coords,tectonic_unit,strat_unit,sample_id2,elevation,depth,Rr,s,n,A,MA,source,cooling_surface_vr_min,cooling_surface_vr_best,cooling_surface_vr_max
MRP198,MRP198,,1.0,,,,,,51.5795995351,0.0,108.053401193,,,,107.5380439759,0.0,107.5380439759,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,8.1409348657,46.9939071342,653420.118605,204999.500625,368.6765641291685,368.6765641291685,257338.21343981716,875.6890258789062,1772.5999755859375,,8.1409348657,46.9939071342,653420.118605,204999.500625,outcrop,0.0,107.5380439759,107.5380439759,aft,653420.118605,204999.500625,,,,,,,,,,,,,,
MRT052,MRT052,,1.0,,,,,,0.0,0.0,93.4196547466,,,,44.7335493429,0.0,84.23891306209998,,,,,0.0,4000.0,,,,1000.0,0.0,2500.0,,0.065,0.065,,9.0070056333,47.1472758504,718949.946361,222999.706263,-7484.836211684687,-7484.836211684687,325927.723378866,813.89697265625,0.0,,9.0070056333,47.1472758504,718949.946361,222999.706263,outcrop,0.0,44.7335493429,84.23891306209998,aft,718949.946361,222999.706263,,,,,,,,,,,,,,
RH10,RH10,,1.0,,,,,,90.5789091939,80.47628411329998,106.4347357223,,,,90.5789091939,90.5789091939,105.2774901342,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.4971291788,47.008332088100005,680490.769997,206906.9045,-11113.836815241066,-11113.836815241066,279594.09246644645,778.0079956054688,1957.903076171875,,8.4971291788,47.0083320881,680490.769997,206906.9045,outcrop,90.5789091939,90.5789091939,105.2774901342,aft,680490.769997,206906.9045,,,,,,,,,,,,,,
RH15,RH15,,0.9987631025,,,,,,97.4811839541,85.127284052,99.6588071945,,,,90.5789091939,90.5789091939,90.5789091939,,,,,2000.0,4500.0,,,,3000.0,3000.0,3000.0,,0.065,0.065,,8.4514924324,47.0329457547,676985.32021,209597.23283800005,-6787.417808663633,-6787.417808663633,278680.59767562273,661.6920166015625,1093.406982421875,,8.4514924324,47.0329457547,676985.32021,209597.232838,outcrop,90.5789091939,90.5789091939,90.5789091939,aft,676985.32021,209597.23283800005,,,,,,,,,,,,,,
RH25,RH25,,0.6106886738,,,,,,98.7455540626,,,,,,,,,,,,,,,,,,,,,,,,,8.4261499695,47.0523388194,675032.0706890001,211728.492031,-3897.8203635649834,-3897.8203635649834,278592.87639281777,509.5960083007813,1393.0819091796875,,8.4261499695,47.0523388194,675032.070689,211728.492031,outcrop,,,,aft,675032.0706890001,211728.492031,,,,,,,,,,,,,,
RH30a,RH30a,,1.0,,,,,,87.7954876552,73.3208633058,114.8045567102,,,,107.5380439759,77.8840431259,108.6510521101,,,,,2000.0,4500.0,,,,3500.0,2500.0,4000.0,,0.065,0.065,,8.354240583300001,47.0417518627,669582.354992,210485.34627,-1595.8074659973806,-1595.8074659973806,273881.72344620863,471.9049987792969,2259.68017578125,,8.3542405833,47.0417518627,669582.354992,210485.34627,outcrop,77.8840431259,107.5380439759,108.6510521101,aft,669582.354992,210485.34627,,,,,,,,,,,,,,
RH30b,RH30b,,1.0,,,,,,88.80571426979998,82.29881879779998,108.6818042291,,,,90.8758475892,90.8758475892,108.309214004,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.354240583300001,47.0417518627,669582.354992,210485.34627,-1595.8074659973806,-1595.8074659973806,273881.72344620863,471.9049987792969,2259.68017578125,,8.3542405833,47.0417518627,669582.354992,210485.34627,outcrop,90.8758475892,90.8758475892,108.309214004,aft,669582.354992,210485.34627,,,,,,,,,,,,,,
RH35,RH35,,1.0,,,,,,83.3448786979,72.423207554,114.8045567102,,,,95.9039857706,77.8840431259,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.4087625296,47.0735394534,673681.90004,214068.776065,-1243.7216688764358,-1243.7216688764358,279098.5890154863,566.4080200195312,2008.0849609375,,8.4087625296,47.0735394534,673681.90004,214068.776065,outcrop,77.8840431259,95.9039857706,107.5380439759,aft,673681.90004,214068.776065,,,,,,,,,,,,,,
RH40,RH40,,0.9999998108,,,,,,89.0188308857,81.7522409579,114.8045567102,,,,90.8758475892,85.8046907082,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.400969788200001,47.0795878233,673081.823056,214733.856996,-348.16729633306267,-348.16729633306267,279078.40492955985,595.1929931640625,2150.31591796875,,8.4009697882,47.0795878233,673081.823056,214733.856996,outcrop,85.8046907082,90.8758475892,107.5380439759,aft,673081.823056,214733.856996,,,,,,,,,,,,,,
RH45,RH45,,1.0,,,,,,87.7954876552,49.9932532571,111.3474566807,,,,96.77481709850002,49.9932532571,107.5380439759,,,,,1500.0,4500.0,,,,3500.0,1500.0,3500.0,,0.065,0.065,,8.4167045944,47.0902060161,674261.980946,215929.000681,-223.21613120751326,-223.21613120751326,280742.9978476032,524.5070190429688,2319.308837890625,,8.4167045944,47.0902060161,674261.980946,215929.000681,outcrop,49.9932532571,96.77481709850002,107.5380439759,aft,674261.980946,215929.000681,,,,,,,,,,,,,,
RH50,RH50,,0.9999682147,,,,,,0.0,0.0,96.7541447917,,,,0.0,0.0,96.7541447917,,,,,0.0,4000.0,,,,0.0,0.0,3000.0,,0.065,0.065,,8.4139814419,47.1070529819,674031.955478,217799.227412,1327.6625874132985,1327.6625874132985,281782.867116516,665.39697265625,2077.02490234375,,8.4139814419,47.1070529819,674031.955478,217799.227412,outcrop,0.0,0.0,96.7541447917,aft,674031.955478,217799.227412,,,,,,,,,,,,,,
RH60c,RH60c,,0.335208877,,,,,,102.20791670959998,,,,,,,,,,,,,,,,,,,,,,,,,8.3385145565,47.0857618908,668331.202088,215363.936509,3149.256918982016,3149.256918982016,275514.80841542257,419.906005859375,2065.514892578125,,8.3385145565,47.0857618908,668331.202088,215363.936509,outcrop,,,,aft,668331.202088,215363.936509,,,,,,,,,,,,,,
RH65,RH65,,1.0,,,,,,73.1761415035,0.0,110.0766045957,,,,97.0338097184,0.0,109.1063347421,,,,,0.0,4500.0,,,,3000.0,0.0,3500.0,,0.065,0.065,,8.380851,47.130224,671486.457694,220344.347073,4913.635892121021,4913.635892121021,281469.835943817,418.5010070800781,1936.180908203125,,8.380851,47.130224,671486.457694,220344.347073,outcrop,0.0,97.0338097184,109.1063347421,aft,671486.457694,220344.347073,,,,,,,,,,,,,,
